"","Transcript","Gene"
"374","ENST00000642426.1"," CTNNB1"
"375","ENST00000533979.5"," ATM"
"376","ENST00000354765.6"," PLAGL1"
"377","ENST00000468133.5"," MAPK14"
"378","ENST00000474305.2"," CASP9"
"379","ENST00000567074.5"," UBE2I"
"380","ENST00000450969.6"," CTNNB1"
"381","ENST00000642315.1"," CTNNB1"
"382","ENST00000476031.1"," FCGR3A"
"383","ENST00000527389.2"," ATM"
"384","ENST00000242057.8"," AHR"
"385","ENST00000489304.5"," CD40"
"386","ENST00000393360.7"," MAPK9"
"387","ENST00000638786.1"," ATM"
"388","ENST00000527389.2"," ATM"
"389","ENST00000547982.1"," LTA4H"
"390","ENST00000533690.5"," ATM"
"391","ENST00000484135.1"," PTPRC"
"392","ENST00000472333.1"," MAPK14"
"393","ENST00000638443.1"," ATM"
"394","ENST00000460452.5"," MADD"
"395","ENST00000511185.5"," SH3BP2"
"396","ENST00000546424.5"," CASP9"
"397","ENST00000495935.1"," FYN"
"398","ENST00000639953.1"," ATM"
"399","ENST00000494275.5"," FGD4"
"400","ENST00000229795.7"," MAPK14"
"401","ENST00000346473.7"," DDIT3"
"402","ENST00000370758.5"," PTGFR"
"403","ENST00000642426.1"," CTNNB1"
"404","ENST00000405141.5"," NCOA1"
"405","ENST00000494977.1"," FGD4"
"406","ENST00000650358.1"," CETP"
"407","ENST00000504294.5"," SH3BP2"
"408","ENST00000533690.5"," ATM"
"409","ENST00000443193.5"," FCGR3A"
"410","ENST00000372285.7"," CD40"
"411","ENST00000508385.5"," SH3BP2"
"412","ENST00000489304.5"," CD40"
"413","ENST00000468133.5"," MAPK14"
"414","ENST00000485265.2"," CTNNB1"
"415","ENST00000229471.8"," FYN"
"416","ENST00000524310.5"," FYN"
"417","ENST00000534625.1"," ATM"
"418","ENST00000644395.1"," CTNNB1"
"419","ENST00000533526.1"," ATM"
"420","ENST00000648523.1"," ABCC2"
"421","ENST00000645210.1"," CTNNB1"
"422","ENST00000532765.1"," ATM"
"423","ENST00000473256.6"," UBE2I"
"424","ENST00000647880.1"," PLAGL1"
"425","ENST00000372285.7"," CD40"
"426","ENST00000379780.6"," CETP"
"427","ENST00000346473.7"," DDIT3"
"428","ENST00000333535.8"," SCN5A"
"429","ENST00000568989.1"," UBE2I"
"430","ENST00000461171.1"," CD40"
"431","ENST00000521361.5"," FYN"
"432","ENST00000397514.7"," UBE2I"
"433","ENST00000229471.8"," FYN"
"434","ENST00000645210.1"," CTNNB1"
"435","ENST00000635293.1"," TP53"
"436","ENST00000473256.6"," UBE2I"
"437","ENST00000459755.1"," MAPK8"
"438","ENST00000200676.7"," CETP"
"439","ENST00000348549.9"," CASP9"
"440","ENST00000642426.1"," CTNNB1"
"441","ENST00000515183.5"," SH3BP2"
"442","ENST00000521361.5"," FYN"
"443","ENST00000566159.1"," UBE2I"
"444","ENST00000463496.1"," AHR"
"445","ENST00000442510.7"," PTPRC"
"446","ENST00000642836.1"," CTNNB1"
"447","ENST00000644678.1"," CTNNB1"
"448","ENST00000524792.5"," ATM"
"449","ENST00000367969.8"," FCGR3A"
"450","ENST00000367967.7"," FCGR3A"
"451","ENST00000517419.5"," FYN"
"452","ENST00000567383.5"," UBE2I"
"453","ENST00000354765.6"," PLAGL1"
"454","ENST00000571370.1"," TP53"
"455","ENST00000647880.1"," PLAGL1"
"456","ENST00000525056.1"," ATM"
"457","ENST00000459755.1"," MAPK8"
"458","ENST00000367571.3"," PLAGL1"
"459","ENST00000453024.6"," CTNNB1"
"460","ENST00000402301.5"," UBE2I"
"461","ENST00000571370.1"," TP53"
"462","ENST00000489415.1"," MADD"
"463","ENST00000533979.5"," ATM"
"464","ENST00000644395.1"," CTNNB1"
"465","ENST00000638443.1"," ATM"
"466","ENST00000647021.1"," CTNNB1"
"467","ENST00000527389.2"," ATM"
"468","ENST00000422579.1"," MADD"
"469","ENST00000611071.4"," IKBKG"
"470","ENST00000515802.5"," SH3BP2"
"471","ENST00000436743.5"," FCGR3A"
"472","ENST00000496864.6"," FYN"
"473","ENST00000553041.5"," LTA4H"
"474","ENST00000405141.5"," NCOA1"
"475","ENST00000372276.7"," CD40"
